"sampleID" "broad.cluster" "cluster" "diagnosis"
"mc_L_125" 3 "L" "L4" "Control"
"mc_L_126" 3 "L" "L4" "Control"
"mc_L_127" 3 "L" "L4" "Control"
"mc_L_128" 3 "L" "L2/3" "Control"
"mc_L_129" 3 "L" "L4" "Control"
"mc_L_130" 3 "L" "L4" "Control"
"mc_L_131" 3 "L" "L4" "Control"
"mc_L_132" 3 "L" "L2/3" "Control"
"mc_L_133" 3 "L" "L5/6" "Control"
"mc_L_134" 3 "L" "L5/6-CC" "Control"
"mc_L_135" 3 "L" "L2/3" "Control"
"mc_L_136" 3 "L" "L4" "Control"
"mc_L_137" 4 "L" "L5/6" "ASD"
"mc_L_138" 4 "L" "L5/6" "ASD"
"mc_L_139" 4 "L" "L5/6" "ASD"
"mc_L_140" 4 "L" "L5/6" "ASD"
"mc_L_141" 4 "L" "L5/6" "ASD"
"mc_L_142" 4 "L" "L5/6" "ASD"
"mc_L_143" 4 "L" "L5/6" "ASD"
"mc_L_144" 4 "L" "L2/3" "ASD"
"mc_L_145" 4 "L" "L4" "ASD"
"mc_L_146" 4 "L" "L5/6-CC" "ASD"
"mc_L_147" 4 "L" "L2/3" "ASD"
"mc_L_148" 4 "L" "L2/3" "ASD"
"mc_L_149" 4 "L" "L2/3" "ASD"
"mc_L_150" 4 "L" "L2/3" "ASD"
"mc_L_151" 4 "L" "L2/3" "ASD"
"mc_L_152" 4 "L" "L2/3" "ASD"
"mc_L_153" 4 "L" "L2/3" "ASD"
"mc_L_154" 4 "L" "L2/3" "ASD"
"mc_L_155" 4 "L" "L2/3" "ASD"
"mc_L_156" 4 "L" "L2/3" "ASD"
"mc_L_157" 4 "L" "L2/3" "ASD"
"mc_L_158" 4 "L" "L2/3" "ASD"
"mc_L_159" 4 "L" "L2/3" "ASD"
"mc_L_160" 4 "L" "L2/3" "ASD"
"mc_L_161" 4 "L" "L2/3" "ASD"
"mc_L_162" 4 "L" "L2/3" "ASD"
"mc_L_163" 4 "L" "L2/3" "ASD"
"mc_L_164" 4 "L" "L2/3" "ASD"
"mc_L_165" 4 "L" "L2/3" "ASD"
"mc_L_166" 4 "L" "L5/6-CC" "ASD"
"mc_L_167" 4 "L" "L2/3" "ASD"
"mc_L_168" 4 "L" "L4" "ASD"
"mc_L_169" 4 "L" "L4" "ASD"
"mc_L_170" 4 "L" "L5/6-CC" "ASD"
"mc_L_171" 4 "L" "L5/6-CC" "ASD"
"mc_L_172" 4 "L" "L5/6-CC" "ASD"
"mc_L_173" 4 "L" "L2/3" "ASD"
"mc_L_174" 4 "L" "L4" "ASD"
"mc_L_175" 4 "L" "L5/6-CC" "ASD"
"mc_L_176" 4 "L" "L5/6-CC" "ASD"
"mc_L_177" 4 "L" "L5/6-CC" "ASD"
"mc_L_178" 4 "L" "L5/6-CC" "ASD"
"mc_L_179" 4 "L" "L2/3" "ASD"
"mc_L_180" 4 "L" "L2/3" "ASD"
"mc_L_181" 4 "L" "L4" "ASD"
"mc_L_182" 4 "L" "L4" "ASD"
"mc_L_183" 4 "L" "L5/6-CC" "ASD"
"mc_L_184" 4 "L" "L2/3" "ASD"
"mc_L_185" 4 "L" "L5/6-CC" "ASD"
"mc_L_186" 5 "L" "L5/6-CC" "ASD"
"mc_L_187" 5 "L" "L5/6" "ASD"
"mc_L_188" 5 "L" "L5/6" "ASD"
"mc_L_189" 5 "L" "L5/6" "ASD"
"mc_L_190" 5 "L" "L5/6" "ASD"
"mc_L_191" 5 "L" "L5/6" "ASD"
"mc_L_192" 5 "L" "L4" "ASD"
"mc_L_193" 5 "L" "L5/6" "ASD"
"mc_L_194" 5 "L" "L5/6" "ASD"
"mc_L_195" 5 "L" "L2/3" "ASD"
"mc_L_196" 5 "L" "L4" "ASD"
"mc_L_197" 5 "L" "L4" "ASD"
"mc_L_198" 5 "L" "L5/6-CC" "ASD"
"mc_L_199" 5 "L" "L5/6-CC" "ASD"
"mc_L_200" 5 "L" "L5/6-CC" "ASD"
"mc_L_201" 5 "L" "L5/6-CC" "ASD"
"mc_L_202" 5 "L" "L2/3" "ASD"
"mc_L_203" 5 "L" "L4" "ASD"
"mc_L_204" 5 "L" "L5/6-CC" "ASD"
"mc_L_205" 5 "L" "L5/6-CC" "ASD"
"mc_L_206" 5 "L" "L5/6-CC" "ASD"
"mc_L_207" 5 "L" "L5/6-CC" "ASD"
"mc_L_208" 5 "L" "L5/6-CC" "ASD"
"mc_L_209" 5 "L" "L5/6-CC" "ASD"
"mc_L_210" 5 "L" "L2/3" "ASD"
"mc_L_211" 5 "L" "L5/6" "ASD"
"mc_L_212" 5 "L" "L5/6-CC" "ASD"
"mc_L_213" 5 "L" "L5/6-CC" "ASD"
"mc_L_214" 5 "L" "L5/6-CC" "ASD"
"mc_L_215" 5 "L" "L2/3" "ASD"
"mc_L_216" 5 "L" "L2/3" "ASD"
"mc_L_217" 5 "L" "L2/3" "ASD"
"mc_L_218" 5 "L" "L2/3" "ASD"
"mc_L_219" 5 "L" "L2/3" "ASD"
"mc_L_220" 5 "L" "L2/3" "ASD"
"mc_L_221" 5 "L" "L2/3" "ASD"
"mc_L_222" 5 "L" "L2/3" "ASD"
"mc_L_223" 5 "L" "L2/3" "ASD"
"mc_L_224" 5 "L" "L2/3" "ASD"
"mc_L_225" 5 "L" "L2/3" "ASD"
"mc_L_226" 5 "L" "L2/3" "ASD"
"mc_L_227" 5 "L" "L2/3" "ASD"
